Review ID,Reviewer's Profile,Reviewer's Name,Review Title,Review Rating,Review Date,Review Badge,Review Content,Review Images,Product URL
R1TY36EVH1O2LG,https://www.amazon.com/gp/profile/amzn1.account.AH6XOQFS5ECU3KOMWGJ3S5A5HCUA/ref=cm_cr_getr_d_gw_btm,Tammy Tenan,Well made,5.0 out of 5 stars,"Reviewed in the United States on January 7, 2026",Verified Purchase,"Very powerful vacuum, is wonderful on wood floors but works well on our low pile throw rugs too. Super easy to assemble and empty. Great maneuverability and easy to direct. It does NOT come with a light which was the only down side I've found. Great suction, perfect size, not too heavy, and easy to use.",,https://www.amazon.com/Dyson-Origin-Cordless-Vacuum-Nickel/dp/B00FZPRUTY/ref=sr_1_6?crid=SOUX5UBXI5EN&dib=eyJ2IjoiMSJ9.g3vpa3pw8uT2n-Iy-gNjTfH09ISfCLuJtT5_x-8VuZ8fMfZPsUUaFDpaIMifHEVi0HT0ruPAuG7LgdvpZXIfPNdVrWo5dUHkwxCiXN3B2-r7MkHwfduNiTl3Aed6S3GsIA0adCc-W1BJz0uFgxY-Wj6o7XFTb-WmxXcRiR3rooj5NevAit0M19yp3YhTwlLPIx_dePQFQwwY4rb2_sRtRT4IAB_7v_2Zyq8KuYurBZqza2F0KVPhhjBa9EF89Vx5LB4MN-IS0eUcPFK7GGy9En1e2r5OWUT_sS0tCw76Kqk.eCmjB1i78CAwvDJKdMrndHywG29pSeVzYiYK04NSxvU&dib_tag=se&keywords=dyson&qid=1768774758&sprefix=dyson%2Caps%2C259&sr=8-6&th=1
RCGYCGORGSFEB,https://www.amazon.com/gp/profile/amzn1.account.AEN3T5ZAOXVQ43ZGBPGAICDXW63A/ref=cm_cr_getr_d_gw_btm,Elizabeth K,The Dyson Vacuum you can’t live without,5.0 out of 5 stars,"Reviewed in the United States on December 28, 2025",Verified Purchase,"Purchased the v11 Origin a month ago and very happy so far. This vacuum is perfect for pets or a busy household. Extremely easy, light weight picks up hair, dirt, easily and the battery power is good. The suction head is powerful, versatile, and flexible to get under furniture without moving it. The attachment is great for the stairs and furniture. In a house with all women in the family, there is a lot of hair and it does not get tangled in the roller. This makes vacuuming seem like not a chore.","https://m.media-amazon.com/images/I/61PsP28uTcL._SL1000.jpg
https://m.media-amazon.com/images/I/61uzkM9Bk1L._SL1000.jpg",https://www.amazon.com/Dyson-Origin-Cordless-Vacuum-Nickel/dp/B00FZPRUTY/ref=sr_1_6?crid=SOUX5UBXI5EN&dib=eyJ2IjoiMSJ9.g3vpa3pw8uT2n-Iy-gNjTfH09ISfCLuJtT5_x-8VuZ8fMfZPsUUaFDpaIMifHEVi0HT0ruPAuG7LgdvpZXIfPNdVrWo5dUHkwxCiXN3B2-r7MkHwfduNiTl3Aed6S3GsIA0adCc-W1BJz0uFgxY-Wj6o7XFTb-WmxXcRiR3rooj5NevAit0M19yp3YhTwlLPIx_dePQFQwwY4rb2_sRtRT4IAB_7v_2Zyq8KuYurBZqza2F0KVPhhjBa9EF89Vx5LB4MN-IS0eUcPFK7GGy9En1e2r5OWUT_sS0tCw76Kqk.eCmjB1i78CAwvDJKdMrndHywG29pSeVzYiYK04NSxvU&dib_tag=se&keywords=dyson&qid=1768774758&sprefix=dyson%2Caps%2C259&sr=8-6&th=1
R9AJXSTH81LNJ,https://www.amazon.com/gp/profile/amzn1.account.AGRKOHW6LKRQFQPPBMOXLAEYJMHA/ref=cm_cr_getr_d_gw_btm,William S.,Must Buy!!,5.0 out of 5 stars,"Reviewed in the United States on November 12, 2025",Verified Purchase,"I bought the V11 for a vacation house that is currently under construction both inside and out. Read that as I have contractors walking down a dirt driveway (muddy in rain) into the house carrying all manner of power tools and product. The whole house is either hardwood floor or tile with a set of stairs. Estimate 1800 -> 2000 square feet and the contractors are in every square foot of this place. Plumbing, electric, carpentry, you name it... it's all ending up on the floor.

The V11 is awesome, I have shown it absolutely no mercy, this thing has been taking an absolute beating picking up rocks and dirt from the driveway, all types of wire clippings, wood chips sheet rock dust, packing material, you name it... if it's on the floor, it's in the dirt catcher of the V11. I probably should be using a shop vac.

The power head works extremely well on both the entry way rugs that take the first steps from the driveway into the house as well as the hardwood without having to change a power head. I either use the powerhead or the brush attachment on the stairs, depending on how bad they are.

I easily get through the whole house on a full charge, and that includes spending time on those entry way matts, and there is still some juice left.

My wife has an issue with the weight of it for a full house cleaning, it's a bit heavy for her for that length of time, but she loves the way it works when she is just doing a couple of rooms or areas at a clip and now wants one for our primary residence.

The wall hanger it comes with is useful; the hanger is both a charging station and attachment caddy in one. Odd, they don't provide a space for the small power head that comes with the vacuum.

As mentioned, the device has some weight and when you set it into the wall hanger, that weight transfers right to the screws holding it to the wall hanger to the wall, making the drywall anchors that come with the wall hanger insufficient. You need to hit a stud with the screws or use a Molly or Toggle anchor if you expect that wall hanger to stay on the wall.

It could use a headlamp on the power head, that would really be a good feature to add.

Overall, a must buy!!",,https://www.amazon.com/Dyson-Origin-Cordless-Vacuum-Nickel/dp/B00FZPRUTY/ref=sr_1_6?crid=SOUX5UBXI5EN&dib=eyJ2IjoiMSJ9.g3vpa3pw8uT2n-Iy-gNjTfH09ISfCLuJtT5_x-8VuZ8fMfZPsUUaFDpaIMifHEVi0HT0ruPAuG7LgdvpZXIfPNdVrWo5dUHkwxCiXN3B2-r7MkHwfduNiTl3Aed6S3GsIA0adCc-W1BJz0uFgxY-Wj6o7XFTb-WmxXcRiR3rooj5NevAit0M19yp3YhTwlLPIx_dePQFQwwY4rb2_sRtRT4IAB_7v_2Zyq8KuYurBZqza2F0KVPhhjBa9EF89Vx5LB4MN-IS0eUcPFK7GGy9En1e2r5OWUT_sS0tCw76Kqk.eCmjB1i78CAwvDJKdMrndHywG29pSeVzYiYK04NSxvU&dib_tag=se&keywords=dyson&qid=1768774758&sprefix=dyson%2Caps%2C259&sr=8-6&th=1
R2SKDUHVMA1A93,https://www.amazon.com/gp/profile/amzn1.account.AFXRNOFDA266JKMHHD3VNUHS3EIA/ref=cm_cr_getr_d_gw_btm,Shopaholic,Best vacuum I’ve ever owned. Amazing,5.0 out of 5 stars,"Reviewed in the United States on January 1, 2026",Verified Purchase,Best vacuum I ever owned. Finally bought something off Amazon that wasn’t junk. Lightweight & easy to take around the house since its cordless. Amazing suction. Even when I think the carpet is clean it brings up more dog hair. Super easy to empty. Great attachments. I vacuum almost daily now because its so easy & fast with this Dyson. Dyson may be the best company in the world.,,https://www.amazon.com/Dyson-Origin-Cordless-Vacuum-Nickel/dp/B00FZPRUTY/ref=sr_1_6?crid=SOUX5UBXI5EN&dib=eyJ2IjoiMSJ9.g3vpa3pw8uT2n-Iy-gNjTfH09ISfCLuJtT5_x-8VuZ8fMfZPsUUaFDpaIMifHEVi0HT0ruPAuG7LgdvpZXIfPNdVrWo5dUHkwxCiXN3B2-r7MkHwfduNiTl3Aed6S3GsIA0adCc-W1BJz0uFgxY-Wj6o7XFTb-WmxXcRiR3rooj5NevAit0M19yp3YhTwlLPIx_dePQFQwwY4rb2_sRtRT4IAB_7v_2Zyq8KuYurBZqza2F0KVPhhjBa9EF89Vx5LB4MN-IS0eUcPFK7GGy9En1e2r5OWUT_sS0tCw76Kqk.eCmjB1i78CAwvDJKdMrndHywG29pSeVzYiYK04NSxvU&dib_tag=se&keywords=dyson&qid=1768774758&sprefix=dyson%2Caps%2C259&sr=8-6&th=1
RH8LY4HYTIEDN,https://www.amazon.com/gp/profile/amzn1.account.AET5RUQFP776LSD3T6AKB44FW76A/ref=cm_cr_getr_d_gw_btm,Susan Helen Strok,"Love, Love this wonderful Vacuum Cleaner",5.0 out of 5 stars,"Reviewed in the United States on December 22, 2025",Verified Purchase,"I absolutely LOVE this vacuum! I had been using an older Dyson version for years until it started only staying on for about 8 minutes. I invested in a newer model, and wow, am I happy with it! This model runs for up to 60 minutes. One of the very great upgrade changes is that there is a screen on the handle that shows how much time is left to use the vacuum. And it tells you what setting you are on. It works on wood floors and transitions immediately to rugs without a problem. My old vac just couldn't work on most rugs. The swivel head is even more flexible, making getting into and around corners so easy. The release to empty the dirt canister is also much improved. It's obvious how to empty it. My older model was a total mystery at first as to how to empty the canister. It's easy to plug in and recharge. I highly recommend this vacuum cleaner!",,https://www.amazon.com/Dyson-Origin-Cordless-Vacuum-Nickel/dp/B00FZPRUTY/ref=sr_1_6?crid=SOUX5UBXI5EN&dib=eyJ2IjoiMSJ9.g3vpa3pw8uT2n-Iy-gNjTfH09ISfCLuJtT5_x-8VuZ8fMfZPsUUaFDpaIMifHEVi0HT0ruPAuG7LgdvpZXIfPNdVrWo5dUHkwxCiXN3B2-r7MkHwfduNiTl3Aed6S3GsIA0adCc-W1BJz0uFgxY-Wj6o7XFTb-WmxXcRiR3rooj5NevAit0M19yp3YhTwlLPIx_dePQFQwwY4rb2_sRtRT4IAB_7v_2Zyq8KuYurBZqza2F0KVPhhjBa9EF89Vx5LB4MN-IS0eUcPFK7GGy9En1e2r5OWUT_sS0tCw76Kqk.eCmjB1i78CAwvDJKdMrndHywG29pSeVzYiYK04NSxvU&dib_tag=se&keywords=dyson&qid=1768774758&sprefix=dyson%2Caps%2C259&sr=8-6&th=1
R10QIPB1GYW3VD,https://www.amazon.com/gp/profile/amzn1.account.AFYWNLQWOQHSF7AOM5IICA4S5QNA/ref=cm_cr_getr_d_gw_btm,Cecil Stewart,Best Vacuum I’ve ever purchased!,5.0 out of 5 stars,"Reviewed in the United States on January 8, 2026",Verified Purchase,"This is by far the best vacuum I’ve ever owned. The suction is stronger than the cord vacuums I’ve owned including a cord Dyson I have which I was very disappointed in after I bought it but I thought I’d give it another try and this cordless one made up for the first Dyson. The three power levels are super useful. I use eco when doing bathroom rugs, Boost for heavy pickups and Med for everything else in between! Switching between all three power levels, I’m able to clean my entire house on one charge and I have a 3200 sqft home. Emptying out the vacuum is very easy and the attachment tool make it easy to get hard to reach area like cleaning out my vehicle. Not sure why anyone would give this vacuum anything other than 5 stars.",,https://www.amazon.com/Dyson-Origin-Cordless-Vacuum-Nickel/dp/B00FZPRUTY/ref=sr_1_6?crid=SOUX5UBXI5EN&dib=eyJ2IjoiMSJ9.g3vpa3pw8uT2n-Iy-gNjTfH09ISfCLuJtT5_x-8VuZ8fMfZPsUUaFDpaIMifHEVi0HT0ruPAuG7LgdvpZXIfPNdVrWo5dUHkwxCiXN3B2-r7MkHwfduNiTl3Aed6S3GsIA0adCc-W1BJz0uFgxY-Wj6o7XFTb-WmxXcRiR3rooj5NevAit0M19yp3YhTwlLPIx_dePQFQwwY4rb2_sRtRT4IAB_7v_2Zyq8KuYurBZqza2F0KVPhhjBa9EF89Vx5LB4MN-IS0eUcPFK7GGy9En1e2r5OWUT_sS0tCw76Kqk.eCmjB1i78CAwvDJKdMrndHywG29pSeVzYiYK04NSxvU&dib_tag=se&keywords=dyson&qid=1768774758&sprefix=dyson%2Caps%2C259&sr=8-6&th=1
R2KYZQ9C2EDCCK,https://www.amazon.com/gp/profile/amzn1.account.AG5SHV3BVF5VRU4MJ6L27RIIC6RA/ref=cm_cr_getr_d_gw_btm,Lburm,Love this Dyson!,5.0 out of 5 stars,"Reviewed in the United States on January 4, 2026",Verified Purchase,"Absolutely love this! So glad I finally caved and made this purchase! Love it so much. Easy to use, maneuverable, lightweight and works fabulously.",,https://www.amazon.com/Dyson-Origin-Cordless-Vacuum-Nickel/dp/B00FZPRUTY/ref=sr_1_6?crid=SOUX5UBXI5EN&dib=eyJ2IjoiMSJ9.g3vpa3pw8uT2n-Iy-gNjTfH09ISfCLuJtT5_x-8VuZ8fMfZPsUUaFDpaIMifHEVi0HT0ruPAuG7LgdvpZXIfPNdVrWo5dUHkwxCiXN3B2-r7MkHwfduNiTl3Aed6S3GsIA0adCc-W1BJz0uFgxY-Wj6o7XFTb-WmxXcRiR3rooj5NevAit0M19yp3YhTwlLPIx_dePQFQwwY4rb2_sRtRT4IAB_7v_2Zyq8KuYurBZqza2F0KVPhhjBa9EF89Vx5LB4MN-IS0eUcPFK7GGy9En1e2r5OWUT_sS0tCw76Kqk.eCmjB1i78CAwvDJKdMrndHywG29pSeVzYiYK04NSxvU&dib_tag=se&keywords=dyson&qid=1768774758&sprefix=dyson%2Caps%2C259&sr=8-6&th=1
RBSZ7C14YQ9SU,https://www.amazon.com/gp/profile/amzn1.account.AFXVZRP26KDNHSICNLAQYWWAXZ2Q/ref=cm_cr_getr_d_gw_btm,crazybookladylover,I didn't know I needed this!,5.0 out of 5 stars,"Reviewed in the United States on January 15, 2026",Verified Purchase,"Can I just say, this is a product I didn't know I needed until I got it. I have a corded Dyson also, and always thought it was pointless to have the cordless. What's the difference? Why would I buy basically the same vacuum? But I was at my sister's and saw her use it. I decided to try it, and even considered buying a different brand, but I love my Dyson. So, I ordered it, and let me tell you, I use this every day. I have hardwood floors, and this makes the cleanup so much easier, especially with kids.
I find that I'll pull this out to do most everything that I put off doing with my corded vacuum because ""it takes so much longer to pull that out and plug it in"". In reality, it doesn't, but I don't put off tasks anymore. This has a great filter, picks up easily, great for tight spaces, and works just like the original. Love it!",,https://www.amazon.com/Dyson-Origin-Cordless-Vacuum-Nickel/dp/B00FZPRUTY/ref=sr_1_6?crid=SOUX5UBXI5EN&dib=eyJ2IjoiMSJ9.g3vpa3pw8uT2n-Iy-gNjTfH09ISfCLuJtT5_x-8VuZ8fMfZPsUUaFDpaIMifHEVi0HT0ruPAuG7LgdvpZXIfPNdVrWo5dUHkwxCiXN3B2-r7MkHwfduNiTl3Aed6S3GsIA0adCc-W1BJz0uFgxY-Wj6o7XFTb-WmxXcRiR3rooj5NevAit0M19yp3YhTwlLPIx_dePQFQwwY4rb2_sRtRT4IAB_7v_2Zyq8KuYurBZqza2F0KVPhhjBa9EF89Vx5LB4MN-IS0eUcPFK7GGy9En1e2r5OWUT_sS0tCw76Kqk.eCmjB1i78CAwvDJKdMrndHywG29pSeVzYiYK04NSxvU&dib_tag=se&keywords=dyson&qid=1768774758&sprefix=dyson%2Caps%2C259&sr=8-6&th=1
R6K4UMD3T9OUB,https://www.amazon.com/gp/profile/amzn1.account.AFEUGA4OAP2UMHLSY6WIZ4C2454A/ref=cm_cr_getr_d_gw_btm,Leanna Bortle,Favorite purchase of the year!,5.0 out of 5 stars,"Reviewed in the United States on December 29, 2025",Verified Purchase,"I have a Golden Lab and a German shepherd in a 1300sqft home. 30% of my diet was likely their hair before I got this Dyson vacuum. THIS THING GETS IT ALL. It’s so dang easy to use, I just installed the mount on the wall and it was go time. I vacuum every single day and it takes me 10 minutes maximum. It comes with the attachments needed to reach under your barstools, the couch cushions, behind your potted plants - everywhere that fur bunnies manage to drift off to. I couldn’t believe the amount of fur it picked up especially since we also have a robot vacuum. It isn’t too heavy, you’re not doing an intense arm workout like with the full size one. It’s cordless so it saves a ton of time. The power modes are a great feature and the max power setting is STRONG ooooweeee. It fits under the couch and turns on a dime. My favorite part about it is how easy it is to empty - one little lever and all that dirt? Forget about it right into the trash can! Must have home tool!",https://m.media-amazon.com/images/I/810h8JJ4cUL._SL1000.jpg,https://www.amazon.com/Dyson-Origin-Cordless-Vacuum-Nickel/dp/B00FZPRUTY/ref=sr_1_6?crid=SOUX5UBXI5EN&dib=eyJ2IjoiMSJ9.g3vpa3pw8uT2n-Iy-gNjTfH09ISfCLuJtT5_x-8VuZ8fMfZPsUUaFDpaIMifHEVi0HT0ruPAuG7LgdvpZXIfPNdVrWo5dUHkwxCiXN3B2-r7MkHwfduNiTl3Aed6S3GsIA0adCc-W1BJz0uFgxY-Wj6o7XFTb-WmxXcRiR3rooj5NevAit0M19yp3YhTwlLPIx_dePQFQwwY4rb2_sRtRT4IAB_7v_2Zyq8KuYurBZqza2F0KVPhhjBa9EF89Vx5LB4MN-IS0eUcPFK7GGy9En1e2r5OWUT_sS0tCw76Kqk.eCmjB1i78CAwvDJKdMrndHywG29pSeVzYiYK04NSxvU&dib_tag=se&keywords=dyson&qid=1768774758&sprefix=dyson%2Caps%2C259&sr=8-6&th=1
R1NCF5MEYNMG4K,https://www.amazon.com/gp/profile/amzn1.account.AEP7WDJY7XYALZ3PVIAS4AIV2BJA/ref=cm_cr_getr_d_gw_btm,Review Dude,Color me impressed,5.0 out of 5 stars,"Reviewed in the United States on December 25, 2025",Verified Purchase,"I had a Miele prior to this. I thought it was the pinnacle of cordless vacuuming. Then it broke. After more research than most sane people would commit to, I came to the realization that I had a corded Dyson in perfect condition that's over 10 years old. And the V11 reviews really well. So well that the extra bells and whistles on the V15 aren't really worth the additional cost.

The suction on this thing is crazy. I have no problem getting through a 2800 sq ft home on a single charge. Honestly though, that was a test. More than likely, I'm just going to clean a section at a time as needed. Also, the bin is great capacity and holds all the cat fur and wife hair that it can find. It's top heavy, so at first it was slightly awkward getting used to detaching the extension to empty the bin, but you get used to it.

With all of that said, Dyson does vacuums well but not software. Stay away from their robot vacuums at all cost.",,https://www.amazon.com/Dyson-Origin-Cordless-Vacuum-Nickel/dp/B00FZPRUTY/ref=sr_1_6?crid=SOUX5UBXI5EN&dib=eyJ2IjoiMSJ9.g3vpa3pw8uT2n-Iy-gNjTfH09ISfCLuJtT5_x-8VuZ8fMfZPsUUaFDpaIMifHEVi0HT0ruPAuG7LgdvpZXIfPNdVrWo5dUHkwxCiXN3B2-r7MkHwfduNiTl3Aed6S3GsIA0adCc-W1BJz0uFgxY-Wj6o7XFTb-WmxXcRiR3rooj5NevAit0M19yp3YhTwlLPIx_dePQFQwwY4rb2_sRtRT4IAB_7v_2Zyq8KuYurBZqza2F0KVPhhjBa9EF89Vx5LB4MN-IS0eUcPFK7GGy9En1e2r5OWUT_sS0tCw76Kqk.eCmjB1i78CAwvDJKdMrndHywG29pSeVzYiYK04NSxvU&dib_tag=se&keywords=dyson&qid=1768774758&sprefix=dyson%2Caps%2C259&sr=8-6&th=1
