Review ID,Reviewer's Profile,Reviewer's Name,Review Title,Review Rating,Review Date,Review Badge,Review Content,Review Images,Product URL
R17CCLB272AYWG,https://www.amazon.com/gp/profile/amzn1.account.AHRDQ72QQYPL7RVA...,Maikel,Best vacuum!!,5.0 out of 5 stars,"Reviewed in the United States on January 6, 2026",Verified Purchase,"This cordless vacuum is lightweight, easy to use, and very conve...",,https://www.amazon.com/MHRMHR-Cordless-Bendable-Lightweight-Rech...
R2865517EJAXS1,https://www.amazon.com/gp/profile/amzn1.account.AGEGFUGTAWHQK5T4...,jworrin,Great for hard floors! I love this stick vacuum.,5.0 out of 5 stars,"Reviewed in the United States on December 8, 2025",Verified Purchase,"I am really impressed with this stick vacuum, especially at this...",,https://www.amazon.com/MHRMHR-Cordless-Bendable-Lightweight-Rech...
R83RZ74E9XPBU,https://www.amazon.com/gp/profile/amzn1.account.AHLE2BWKF6DXNU2P...,Heather,My parents LOVE it!,5.0 out of 5 stars,"Reviewed in the United States on January 14, 2026",Verified Purchase,I got this vaccine for my mother and father as their joint chris...,,https://www.amazon.com/MHRMHR-Cordless-Bendable-Lightweight-Rech...
R35DTK7ZRWKOHQ,https://www.amazon.com/gp/profile/amzn1.account.AG6RBT6I2Q223M5D...,Yolanda Hunter,A powerful cordless vacuum!,5.0 out of 5 stars,"Reviewed in the United States on December 19, 2025",Verified Purchase,"It's easy to put together and use. Being older, the bendable wan...",https://m.media-amazon.com/images/I/61g73fbP0DL._SL1000.jpg http...,https://www.amazon.com/MHRMHR-Cordless-Bendable-Lightweight-Rech...
R28JT3C9UIYXAO,https://www.amazon.com/gp/profile/amzn1.account.AH4EJSJWSMGEPHS4...,Thiago Silva,Great for the stairs,5.0 out of 5 stars,"Reviewed in the United States on January 12, 2026",Verified Purchase,"This cordless vacuum exceeded my expectations. It’s lightweight,...",https://m.media-amazon.com/images/I/61lHlM9ydRL._SL1000.jpg http...,https://www.amazon.com/MHRMHR-Cordless-Bendable-Lightweight-Rech...
R2OIMVZUUP1KBA,https://www.amazon.com/gp/profile/amzn1.account.AFJZKB47HIPAW2UJ...,Donna,Better than expected - cost effective Dyson alternative,5.0 out of 5 stars,"Reviewed in the United States on January 3, 2026",Verified Purchase,"We received the device a few days ago. In short, this is a vacuu...",,https://www.amazon.com/MHRMHR-Cordless-Bendable-Lightweight-Rech...
R37SFXENW41WTS,https://www.amazon.com/gp/profile/amzn1.account.AFECCFJVTLW2UB5A...,PhaleaceDS,"BEWARE,,, It is not self-standing.",5.0 out of 5 stars,"Reviewed in the United States on January 11, 2026",Verified Purchase,"I like this vacuum A Lot. BEWARE though, it is NOT self-standing...",,https://www.amazon.com/MHRMHR-Cordless-Bendable-Lightweight-Rech...
R2VDMTDB7CE088,https://www.amazon.com/gp/profile/amzn1.account.AFJAFTCZCLKHBJVW...,Happytreesloth,Sturdy build,5.0 out of 5 stars,"Reviewed in the United States on January 4, 2026",Verified Purchase,Got this because I was tired of nearly laying on the floor in or...,,https://www.amazon.com/MHRMHR-Cordless-Bendable-Lightweight-Rech...
R3JB259N0HATI4,https://www.amazon.com/gp/profile/amzn1.account.AHBYGNYYOD2H6ZMH...,Dalton E.,Velvet Rollers Catch Debris Well,5.0 out of 5 stars,"Reviewed in the United States on December 6, 2025",Verified Purchase,So I’ve bought a few types of these stick vacuums for my rental ...,https://m.media-amazon.com/images/I/61V-r5bWiEL._SL1000.jpg http...,https://www.amazon.com/MHRMHR-Cordless-Bendable-Lightweight-Rech...
RTA6KJ2FE1XRF,https://www.amazon.com/gp/profile/amzn1.account.AE24QMX2CDVYWRMC...,Penny,Absolutely Impressed!,5.0 out of 5 stars,"Reviewed in the United States on December 11, 2025",Verified Purchase,I have an old Electrolux canister vac that works great but is bu...,,https://www.amazon.com/MHRMHR-Cordless-Bendable-Lightweight-Rech...
R1VQGYMZ0UIK9H,https://www.amazon.com/gp/profile/amzn1.account.AFNVCYXZPFJPD3VD...,Felicia King,Good little machine,5.0 out of 5 stars,"Reviewed in the United States on January 16, 2026",Verified Purchase,Purchased this as a gift for my son for Xmas. While I haven't pe...,,https://www.amazon.com/MHRMHR-Cordless-Bendable-Lightweight-Rech...
R1SVMCWAXJ86VK,https://www.amazon.com/gp/profile/amzn1.account.AHTRTBGLK2ZHM62J...,JUDY OK,Great little cordless stick vacuum for hard wood floors or low n...,5.0 out of 5 stars,"Reviewed in the United States on December 26, 2025",Verified Purchase,Absolutely love this vacuum. I have arthritis in my thumb and fi...,,https://www.amazon.com/MHRMHR-Cordless-Bendable-Lightweight-Rech...
R1C16P5UHXOMLM,https://www.amazon.com/gp/profile/amzn1.account.AEOJDS3PJPKNPXKD...,Param D.,Compact spa like feeling,5.0 out of 5 stars,"Reviewed in the United States on December 27, 2025",Verified Purchase,Want a spa like feel at home - buy this for yourself. I actually...,https://m.media-amazon.com/images/I/61+pMIjWCtL._SL1000.jpg http...,https://www.amazon.com/MHRMHR-Cordless-Bendable-Lightweight-Rech...
R2CE1P6BW4E4FO,https://www.amazon.com/gp/profile/amzn1.account.AHX36G5MWJSZBVBM...,Rick Girone,Best Cordless Vaccum On Market!!!,5.0 out of 5 stars,"Reviewed in the United States on January 10, 2026",Verified Purchase,Love this MHRMHR Cordless Cleaner. Never heard of this Brand but...,,https://www.amazon.com/MHRMHR-Cordless-Bendable-Lightweight-Rech...
RQV89A1C9TLVT,https://www.amazon.com/gp/profile/amzn1.account.AHSXWRK7UMJ5XKZL...,Stacy pelletier,Smart and sucks well,5.0 out of 5 stars,"Reviewed in the United States on January 16, 2026",Verified Purchase,So for this vacuum cleaner is really been surprisingly awesome i...,,https://www.amazon.com/MHRMHR-Cordless-Bendable-Lightweight-Rech...
R236JPFLAQ2EZ9,https://www.amazon.com/gp/profile/amzn1.account.AEKP7EEDZH4VEBNY...,Lacey,Great product for the price!,5.0 out of 5 stars,"Reviewed in the United States on January 6, 2026",Verified Purchase,So far so good. Battery life lasted to vacuum my entire upstairs...,,https://www.amazon.com/MHRMHR-Cordless-Bendable-Lightweight-Rech...
R34QAI7M1ELGTO,https://www.amazon.com/gp/profile/amzn1.account.AE4BV5PE6ERTHGHV...,Colin R,Very powerful lightweight vacuum,5.0 out of 5 stars,"Reviewed in the United States on January 10, 2026",Verified Purchase,The vacuum is lightweight but pretty powerful. Battery charging ...,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/com...,https://www.amazon.com/MHRMHR-Cordless-Bendable-Lightweight-Rech...
R1X80HN6T53W7B,https://www.amazon.com/gp/profile/amzn1.account.AGCM45XG4ODVMEDA...,Mrs. K,GREAT VALUE!,5.0 out of 5 stars,"Reviewed in the United States on December 13, 2025",Verified Purchase,So far (it’s only been 2 weeks) LOVE this little vacuum!!! Light...,,https://www.amazon.com/MHRMHR-Cordless-Bendable-Lightweight-Rech...
R2BUYN6BOD105G,https://www.amazon.com/gp/profile/amzn1.account.AHDJIDWSKYFLSBY7...,A Habib,Lightweight and powerful!,5.0 out of 5 stars,"Reviewed in the United States on January 7, 2026",Verified Purchase,"This cordless vacuum is lightweight and easy to use, with a bend...",,https://www.amazon.com/MHRMHR-Cordless-Bendable-Lightweight-Rech...
R61CE7JHOMVAH,https://www.amazon.com/gp/profile/amzn1.account.AHOKJKWEB6JBFLT7...,Magen Lipp,Nice vac with a lot of great features,5.0 out of 5 stars,"Reviewed in the United States on December 15, 2025",Verified Purchase,We purchased this MHRMHR Cordless Vacuum Cleaner after our “prem...,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/com...,https://www.amazon.com/MHRMHR-Cordless-Bendable-Lightweight-Rech...
R18MU3JTRHO9CE,https://www.amazon.com/gp/profile/amzn1.account.AGOWJ4MNRZRG64BI...,Julia Hamlin,Great vacuum!,5.0 out of 5 stars,"Reviewed in the United States on January 11, 2026",Verified Purchase,"Great vacuum for the price! It’s light weight, easy to maneuver ...",,https://www.amazon.com/MHRMHR-Cordless-Bendable-Lightweight-Rech...
RZDW8HE3CQ3GG,https://www.amazon.com/gp/profile/amzn1.account.AGBLN4BEJILKEAPY...,Ana R. Gonzalez-Pulido,Amazing !,5.0 out of 5 stars,"Reviewed in the United States on January 10, 2026",Verified Purchase,Very powerful n really amazing little vac … so good I gave my si...,,https://www.amazon.com/MHRMHR-Cordless-Bendable-Lightweight-Rech...
R22X453TACJYPN,https://www.amazon.com/gp/profile/amzn1.account.AE4EDVE7TD5VYCFM...,Brenda,Prefect vacuum,5.0 out of 5 stars,"Reviewed in the United States on January 16, 2026",Verified Purchase,I loved this vacuum! I love how quiet it is.. specially the ligh...,https://m.media-amazon.com/images/I/61Fw5s6w8wL._SL1000.jpg,https://www.amazon.com/MHRMHR-Cordless-Bendable-Lightweight-Rech...
R1536CU4Q85B0I,https://www.amazon.com/gp/profile/amzn1.account.AET43RUKUYWTEMML...,Frank Terek,Cordless vacuum,5.0 out of 5 stars,"Reviewed in the United States on January 16, 2026",Verified Purchase,Great little vacuum. Works great and the fact it's cordless is t...,,https://www.amazon.com/MHRMHR-Cordless-Bendable-Lightweight-Rech...
RY4YDH3G90Z9L,https://www.amazon.com/gp/profile/amzn1.account.AG2CZTVSWBATFDHK...,WS,Cordless vacuum,5.0 out of 5 stars,"Reviewed in the United States on January 12, 2026",Verified Purchase,Love it for everyday cleanup- twists and turns gets corners and ...,,https://www.amazon.com/MHRMHR-Cordless-Bendable-Lightweight-Rech...
RBNNL4JCCHIY1,https://www.amazon.com/gp/profile/amzn1.account.AHTUB5CMZL7SR6IC...,Natalie,Perfect gift!,5.0 out of 5 stars,"Reviewed in the United States on December 19, 2025",Verified Purchase,I bought this as a birthday present for my mother and is was the...,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/com...,https://www.amazon.com/MHRMHR-Cordless-Bendable-Lightweight-Rech...
R1F49GCMNZY0NA,https://www.amazon.com/gp/profile/amzn1.account.AHJLN7JFYI2BIA4Q...,Amazon Customer,Great for small spaces,5.0 out of 5 stars,"Reviewed in the United States on January 16, 2026",Verified Purchase,Purchased for daughter’s dorm room. She said it worked great.,,https://www.amazon.com/MHRMHR-Cordless-Bendable-Lightweight-Rech...
R2LQT3GRMZ5A26,https://www.amazon.com/gp/profile/amzn1.account.AGV7AEDHQHXI6RVF...,SS,Great vacuum,5.0 out of 5 stars,"Reviewed in the United States on January 12, 2026",Verified Purchase,I like it. Gets the job done nicely and can configure it to diff...,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/com...,https://www.amazon.com/MHRMHR-Cordless-Bendable-Lightweight-Rech...
R13DKMFJSYLY6Q,https://www.amazon.com/gp/profile/amzn1.account.AGYPMNGGNYV3OYQN...,vicki,Good for older people with back issues,5.0 out of 5 stars,"Reviewed in the United States on January 10, 2026",Verified Purchase,So far. Great. Very good suction. Love how it bends.,,https://www.amazon.com/MHRMHR-Cordless-Bendable-Lightweight-Rech...
R5OYVT9A066GI,https://www.amazon.com/gp/profile/amzn1.account.AHAACVEAUXZZJPDU...,rita,Fav vacuum ever!!,5.0 out of 5 stars,"Reviewed in the United States on December 12, 2025",Verified Purchase,I am genuinely impressed with this cordless vacuum. It’s lightwe...,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/com...,https://www.amazon.com/MHRMHR-Cordless-Bendable-Lightweight-Rech...
R18RFIWKK29XIH,https://www.amazon.com/gp/profile/amzn1.account.AH7ZQRAECISE6AEP...,Asha,Effortless Cleaning,5.0 out of 5 stars,"Reviewed in the United States on December 5, 2025",Verified Purchase,This cordless vacuum cleaner has transformed my cleaning routine...,,https://www.amazon.com/MHRMHR-Cordless-Bendable-Lightweight-Rech...
R1V3KXN2MIJ7M8,https://www.amazon.com/gp/profile/amzn1.account.AFAQA4KZY7F6GCDF...,lisa,Versatile vacuum that works great on all surfaces,5.0 out of 5 stars,"Reviewed in the United States on December 3, 2025",Verified Purchase,Amazing vacuum ! It cleaned my car quick and easy and I love the...,https://m.media-amazon.com/images/I/61YztaEgmHL._SL1000.jpg http...,https://www.amazon.com/MHRMHR-Cordless-Bendable-Lightweight-Rech...
R26S6E2AVB11C8,https://www.amazon.com/gp/profile/amzn1.account.AHUJSVFUISP6M7TP...,Brad Stroud,Impressed,5.0 out of 5 stars,"Reviewed in the United States on December 31, 2025",Verified Purchase,"This isn’t a Dyson. But my goodness, for the price you can’t bea...",,https://www.amazon.com/MHRMHR-Cordless-Bendable-Lightweight-Rech...
R2HBX7W4LKTFYF,https://www.amazon.com/gp/profile/amzn1.account.AFP4XNQ3BAKV3ZCT...,Christopher Morgan,"Durable, lightweight rechargeable, vacuum cleaner.",5.0 out of 5 stars,"Reviewed in the United States on December 9, 2025",Verified Purchase,"Durable, lightweight, rechargeable, vacuum cleaner. I love the f...",https://m.media-amazon.com/images/I/71SrFtqI6zL._SL1000.jpg http...,https://www.amazon.com/MHRMHR-Cordless-Bendable-Lightweight-Rech...
R3ROFKD8F60ZEI,https://www.amazon.com/gp/profile/amzn1.account.AGVHHH6NNZTS32MZ...,Scott S.,It's pretty awesome!,5.0 out of 5 stars,"Reviewed in the United States on January 6, 2026",Verified Purchase,This thing is pretty awesome. I definitely recommend!,,https://www.amazon.com/MHRMHR-Cordless-Bendable-Lightweight-Rech...
R1DSDH0AQW9IRB,https://www.amazon.com/gp/profile/amzn1.account.AFDVXIYQB4N7DJ3Q...,Tena Durr,Vacuum,5.0 out of 5 stars,"Reviewed in the United States on January 9, 2026",Verified Purchase,I love the vacuum,,https://www.amazon.com/MHRMHR-Cordless-Bendable-Lightweight-Rech...
REW54LT7GQYWE,https://www.amazon.com/gp/profile/amzn1.account.AHP7XPNYRFV2PGKX...,Jillian Hart,I'm impressed,5.0 out of 5 stars,"Reviewed in the United States on December 31, 2025",Verified Purchase,"I'm quite impressed. Good suction, easy to use, lightweight, and...",,https://www.amazon.com/MHRMHR-Cordless-Bendable-Lightweight-Rech...
R2W0H7KXT4DHNC,https://www.amazon.com/gp/profile/amzn1.account.AELPS7WC4IWRVPBI...,Kris,"Lightweight, Powerful, Versatile, and all at a bargain of a pric...",5.0 out of 5 stars,"Reviewed in the United States on December 7, 2025",Verified Purchase,"Awesome, powerful little vacuum! The battery charges quick, and ...",,https://www.amazon.com/MHRMHR-Cordless-Bendable-Lightweight-Rech...
R1PW3KWOO6IEFS,https://www.amazon.com/gp/profile/amzn1.account.AGOV3FDSPHBT4ZRT...,Pamela,Quality and Customer Service,5.0 out of 5 stars,"Reviewed in the United States on December 9, 2025",Verified Purchase,"Just purchased this vaccum on December 2, 2025 and I really love...",,https://www.amazon.com/MHRMHR-Cordless-Bendable-Lightweight-Rech...
RV9R1ZD7Y5EQ2,https://www.amazon.com/gp/profile/amzn1.account.AF6NIYLN7F4YURAT...,MARY A BRINER,"Quiet, good suction and light helps too.",5.0 out of 5 stars,"Reviewed in the United States on December 24, 2025",Verified Purchase,Works great! Light at floor level really helps too. Runs quiet a...,,https://www.amazon.com/MHRMHR-Cordless-Bendable-Lightweight-Rech...
R2A0JDG6IGHVO4,https://www.amazon.com/gp/profile/amzn1.account.AENYFEDIH4JIET7N...,Balaji,Accessible and efficient,5.0 out of 5 stars,"Reviewed in the United States on December 17, 2025",Verified Purchase,Having an hinge on the pole makes a lot of difference to clean u...,,https://www.amazon.com/MHRMHR-Cordless-Bendable-Lightweight-Rech...
